location_name,location_id,total_num
新疆维吾尔自治区,0,5.4
西藏自治区,1,14
内蒙古自治区,2,5.3
青海省,3,8.6
四川省,4,6.5
黑龙江省,5,5.6
甘肃省,6,3.9
云南省,7,4.2
广西壮族自治区,8,4.9
湖南省,9,5.1
陕西省,10,7.9
广东省,11,33
吉林省,12,5.8
河北省,13,4.2
湖北省,14,7.8
贵州省,15,4
山东省,16,5.5
江西省,17,4.4
河南省,18,4.4
辽宁省,19,8.8
山西省,20,4.7
安徽省,21,4.1
福建省,22,15
浙江省,23,16
江苏省,24,11
重庆市,25,10
宁夏回族自治区,26,8.9
海南省,27,14
台湾省,28,4.4
北京市,29,79
天津市,30,19
上海市,31,56
香港特别行政区,32,21
澳门特别行政区,33,71
